product_name,permit_number,permit_type,crop,target,purpose,dose,dose_unit,spray_volume,spray_volume_unit,bbch_min,bbch_max,treatment_time,phi,max_treatments,min_interval_days,expiry_date,latest_document,source_pdf,issue_reason
Funguran Progress,6300/741-1/2019,alapengedely,Burgonya,burgonyavész,gombaölő szer,2,kg/ha,150-400,l/ha,37,37,sorzáródás (BBCH 37) – levélsárgulás kezdete (BBCH 91),,4,7,2029-03-31,Funguran Progress _mód_20240220.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=344859775es344860279&documentName=Funguran+Progress+_m%c3%b3d_20240220.pdf,missing verified normal row recovered from latest permit point 4 table
Funguran Progress,6300/741-1/2019,alapengedely,Díszbokrok és díszcserjék (legfeljebb 50 cm-es magasságig),baktériumos levélfoltosságok,gombaölő szer,2,kg/ha,800,l/ha,12,12,levélkiterülés (BBCH 12),,4,10,2029-03-31,Funguran Progress _mód_20240220.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=344859775es344860279&documentName=Funguran+Progress+_m%c3%b3d_20240220.pdf,missing verified normal row recovered from latest permit point 4 table
Funguran Progress,6300/741-1/2019,alapengedely,Komló,peronoszpóra,gombaölő szer,2.4,kg/ha,1200,max,31,31,a felsővezeték magasságához viszonyított 10%-os indahossz (BBCH 31) – 50-60%-os indahossz (BBCH 36),,2,7,2029-03-31,Funguran Progress _mód_20240220.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=344859775es344860279&documentName=Funguran+Progress+_m%c3%b3d_20240220.pdf,missing verified normal row recovered from latest permit point 4 table
Kumar,6300/891-1/2021,alapengedely,"vöröshagyma, fokhagyma, mogyoró-hagyma, gyöngyhagyma szabadföldi",sztemfíliumos betegség,gombaölő szer,3,kg/ha,400-600,l/ha,13,13,háromleveles állapottól (BBCH 13) a fejátmérő eléréséig (BBCH 49),,6,7,2037-10-31,Kumar megújítás_0059488-1_2024.07.16_publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=345801440es345799646&documentName=Kumar+meg%c3%baj%c3%adt%c3%a1s_0059488-1_2024.07.16_publikus.pdf,missing verified normal row recovered from latest permit point 4 table
Kumar,6300/891-1/2021,alapengedely,"sárgarépa, petrezselyem, kerekrépa, karórépa, pasztinák, zeller, torma, retek, cékla, csicsóka, feketegyökér szabadföldi",lisztharmat,gombaölő szer,3,kg/ha,400-600,l/ha,13,13,háromleveles állapottól (BBCH 13) a gyökérnövekedés (BBCH 49),,6,7,2037-10-31,Kumar megújítás_0059488-1_2024.07.16_publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=345801440es345799646&documentName=Kumar+meg%c3%baj%c3%adt%c3%a1s_0059488-1_2024.07.16_publikus.pdf,missing verified normal row recovered from latest permit point 4 table
Kumar,6300/891-1/2021,alapengedely,spárga szabadföldi,sztemfíliumos betegség,gombaölő szer,3,kg/ha,800-1000,l/ha,39,39,szárnövekedés végétől (BBCH 39) a fillokládiumok lehullásáig (BBCH 93),,6,7,2037-10-31,Kumar megújítás_0059488-1_2024.07.16_publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=345801440es345799646&documentName=Kumar+meg%c3%baj%c3%adt%c3%a1s_0059488-1_2024.07.16_publikus.pdf,missing verified normal row recovered from latest permit point 4 table
Kumar,6300/891-1/2021,alapengedely,"angelika, bazsalikom, borsikafű, cickafark, citromfű, édesgyökér, édeskömény (édes és keserű), izsóp, kakukkfű, kamilla, kapor, komló, konyhakömény, koriander, kis ezerjófű, lestyán, levendula, macskagyökér, majoránna, mályva, menta, metélőhagyma, metélőpetrezse- lyem, orbáncfű, orvosi pemetefű, orvosi zilíz, orvosi zsálya, ökörfarkkóró, rozmaring, sáfrányos szeklice, szurokfű, tárkony, zamatos turbolya szabadföldi és hajtatott",lisztharmat,gombaölő szer,3,kg/ha,400-600,l/ha,12,12,kétleveles állapottól (BBCH 12) szedés/betakarítás előtti második napig (BBCH 87),,6,7,2037-10-31,Kumar megújítás_0059488-1_2024.07.16_publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=345801440es345799646&documentName=Kumar+meg%c3%baj%c3%adt%c3%a1s_0059488-1_2024.07.16_publikus.pdf,missing verified normal row recovered from latest permit point 4 table
Polyversum,04.2/285-1/2011,alapengedely,"őszi káposztarepce, tavaszi káposztarepce, mustár, olajretek",csírakori betegségek,gombaölő szer,2,kg/t mag,5-10,l/t,,,vetőmag,,1,,2039-02-28,Polyversum mód_32686-2_2025.05.22_publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=347048189es347250567&documentName=Polyversum+m%c3%b3d_32686-2_2025.05.22_publikus.pdf,missing verified normal row recovered from latest permit point 4 table
Polyversum,04.2/285-1/2011,alapengedely,szamóca szabadföldi,"diplokarponos levélfoltosság (feketefoltosság), gnomóniás levélfoltosság, mikoszferellás levélfoltosság, botrítiszes betegség (szürkepenész), fitoftórás gyümölcsrothadás",gombaölő szer,0.1-0.2,kg/ha,300-800,permetezés l/ha,41,41,indanövekedés kezdetétől (BBCH 41) fajtára jellemző színeződés kezdetéig (BBCH 85),,4,7,2039-02-28,Polyversum mód_32686-2_2025.05.22_publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=347048189es347250567&documentName=Polyversum+m%c3%b3d_32686-2_2025.05.22_publikus.pdf,missing verified normal row recovered from latest permit point 4 table
Polyversum,04.2/285-1/2011,alapengedely,uborka szabadföldi,csírakori betegségek,gombaölő szer,2,kg/t mag,5-10,l/t,,,vetőmag,,1,7,2039-02-28,Polyversum mód_32686-2_2025.05.22_publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=347048189es347250567&documentName=Polyversum+m%c3%b3d_32686-2_2025.05.22_publikus.pdf,missing verified normal row recovered from latest permit point 4 table
Polyversum,04.2/285-1/2011,alapengedely,"paradicsom, paprika hajtatott",csírakori betegségek,gombaölő szer,2,kg/t mag,5-10,l/t,,,vetőmag,,1,5,2039-02-28,Polyversum mód_32686-2_2025.05.22_publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=347048189es347250567&documentName=Polyversum+m%c3%b3d_32686-2_2025.05.22_publikus.pdf,missing verified normal row recovered from latest permit point 4 table
Polyversum,04.2/285-1/2011,alapengedely,"fejeskáposzta, kelkáposzta, bimbós kel,",csírakori betegségek,gombaölő szer,2,kg/t mag,5-10,l/t,,,vetőmag,,1,5,2039-02-28,Polyversum mód_32686-2_2025.05.22_publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=347048189es347250567&documentName=Polyversum+m%c3%b3d_32686-2_2025.05.22_publikus.pdf,missing verified normal row recovered from latest permit point 4 table
Polyversum,04.2/285-1/2011,alapengedely,"sárgarépa, petrezselyem, zeller, pasztinák",csírakori betegségek,gombaölő szer,2,kg/t mag,5-10,l/t,,,vetőmag,,1,14,2039-02-28,Polyversum mód_32686-2_2025.05.22_publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=347048189es347250567&documentName=Polyversum+m%c3%b3d_32686-2_2025.05.22_publikus.pdf,missing verified normal row recovered from latest permit point 4 table
Polyversum,04.2/285-1/2011,alapengedely,"pázsitok, gyepek, golf- és futball pályák","fuzáriumos betegségek, hópenész, pítiumos betegség",gombaölő szer,2,kg/t mag,5-10,l/t,,,vetőmag,,1,14,2039-02-28,Polyversum mód_32686-2_2025.05.22_publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=347048189es347250567&documentName=Polyversum+m%c3%b3d_32686-2_2025.05.22_publikus.pdf,missing verified normal row recovered from latest permit point 4 table
Polyversum,04.2/285-1/2011,alapengedely,erdészeti- és dísznövény csemetekertek,csírakori betegségek,gombaölő szer,2,kg/t mag,5-10,l/t,,,vetőmag,,1,14,2039-02-28,Polyversum mód_32686-2_2025.05.22_publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=347048189es347250567&documentName=Polyversum+m%c3%b3d_32686-2_2025.05.22_publikus.pdf,missing verified normal row recovered from latest permit point 4 table
Polyversum,04.2/285-1/2011,alapengedely,erdészeti- és dísznövény csemetekertek,"szklerotíniás betegség (fehérpenész), botrítiszes betegség (szürkepenész), levélfoltosságok (Alternaria spp., Septoria spp., Phyllosticta spp. stb.)",gombaölő szer,0.25,kg/ha,300-800,l/ha,31,31,hajtásnövekedés kezdetétől (BBCH 31) hajtásnövekedés végéig (BBCH 91),,7,7,2039-02-28,Polyversum mód_32686-2_2025.05.22_publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=347048189es347250567&documentName=Polyversum+m%c3%b3d_32686-2_2025.05.22_publikus.pdf,missing verified normal row recovered from latest permit point 4 table
Scala,02.5/11108-2/2010,alapengedely,vöröshagyma,"botrítiszes betegség (szürkepenész), alternáriás- és sztemfíliumos betegség",gombaölő szer,1-2,l/ha,300-600,l/ha,13,13,3. levél megjelenésétől (BBCH 13) 50%-os dőlésig (BBCH 48),,2,10,2028-05-31,Scala_mod_20260511.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=350182020es350111999&documentName=Scala_mod_20260511.pdf,missing verified normal row recovered from latest permit point 4 table
Scala,02.5/11108-2/2010,alapengedely,póréhagyma szabadföldi,"botrítiszes betegség (szürkepenész), alternáriás- és sztemfíliumos betegség",gombaölő szer,1-2,l/ha,300-600,l/ha,15,15,5. levél megjelenésétől (BBCH 15) levélszáradásig (BBCH 49),,2,10,2028-05-31,Scala_mod_20260511.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=350182020es350111999&documentName=Scala_mod_20260511.pdf,missing verified normal row recovered from latest permit point 4 table
Scala,02.5/11108-2/2010,alapengedely,sárgarépa,"alternáriás levélfoltosság, cerkospórás levélfoltosság",gombaölő szer,1.5-2,l/ha,200-800,l/ha,16,16,6 leveles állapottól (BBCH 16) gyökérnövekedés végéig (BBCH 49),,2,10,2028-05-31,Scala_mod_20260511.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=350182020es350111999&documentName=Scala_mod_20260511.pdf,missing verified normal row recovered from latest permit point 4 table
Sulbari,6300/2631-1/2021,alapengedely,cukorrépa takarmányrépa,lisztharmat,gombaölő szer,5-7.5,kg/ha,200-600,l/ha,39,39,sorzáródás végétől (BBCH 39) gyökérfejlődés végéig (BBCH 49),,2,10,2026-10-30,Sulbari_eng_20211005.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=315398455es315380665&documentName=Sulbari_eng_20211005.pdf,missing verified normal row recovered from latest permit point 4 table
Sulbari,6300/2631-1/2021,alapengedely,"szőlő (bor-, csemege-)",lisztharmat,gombaölő szer,3-12.5,kg/ha,300-1000,l/ha,09,09,rügyfakadást követően a zöld hajtáscsúcsok láthatóvá válásától (BBCH 09) fürtzáródás végéig (BBCH 79),,8,7,2026-10-30,Sulbari_eng_20211005.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=315398455es315380665&documentName=Sulbari_eng_20211005.pdf,missing verified normal row recovered from latest permit point 4 table
Sulbari,6300/2631-1/2021,alapengedely,"almatermésűek (alma, körte, birs, naspolya)",lisztharmat,gombaölő szer,3-7.5,kg/ha,500-1000,l/ha,10,10,egérfüles állapottól (BBCH 10) kései piros/fehérbimbós állapotig (BBCH 59),,2,7,2026-10-30,Sulbari_eng_20211005.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=315398455es315380665&documentName=Sulbari_eng_20211005.pdf,missing verified normal row recovered from latest permit point 4 table
Sulbari,6300/2631-1/2021,alapengedely,"őszibarack, kajszi, nektarin",lisztharmat,gombaölő szer,5,kg/ha,500-1000,l/ha,69,69,virágzás végétől (BBCH 69) a fajtára jellemző gyümölcsszíneződ és kialakulásáig (BBCH 85),,3,7,2026-10-30,Sulbari_eng_20211005.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=315398455es315380665&documentName=Sulbari_eng_20211005.pdf,missing verified normal row recovered from latest permit point 4 table
Sulbari,6300/2631-1/2021,alapengedely,"paprika, paradicsom, tojásgyümölcs",lisztharmat,gombaölő szer,3-5,kg/ha,200-1000,l/ha,13,13,háromleveles állapottól (BBCH 13) 80%-os érésig (BBCH 88),,4,10,2026-10-30,Sulbari_eng_20211005.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=315398455es315380665&documentName=Sulbari_eng_20211005.pdf,missing verified normal row recovered from latest permit point 4 table
Sulbari,6300/2631-1/2021,alapengedely,"kabakosok (sárgadinnye, görögdinnye, cukkini, uborka, sütőtök, spárgatök, patisszon)",lisztharmat,gombaölő szer,3-5,kg/ha,200-1000,l/ha,13,13,háromleveles állapottól (BBCH 13) 80%-os érésig (BBCH 88),,4,10,2026-10-30,Sulbari_eng_20211005.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=315398455es315380665&documentName=Sulbari_eng_20211005.pdf,missing verified normal row recovered from latest permit point 4 table
Sulbari,6300/2631-1/2021,alapengedely,"száraz borsó, zöldborsó",lisztharmat,gombaölő szer,3-5,kg/ha,400-1000,l/ha,13,13,háromleveles állapottól (BBCH 13) végső hüvelyméretig (BBCH 79),,2,7,2026-10-30,Sulbari_eng_20211005.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=315398455es315380665&documentName=Sulbari_eng_20211005.pdf,missing verified normal row recovered from latest permit point 4 table
Tazer 250 SC,04.2/86-1/2014,alapengedely,spárga,rozsda,gombaölő szer,1,l/ha,600-800,l/ha,60,60,hajtásnövekedéstől (BBCH 60) termés (bogyó) érésig (BBCH 88),,3,10,2027-12-31,Tazer_KKmod_20260410.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=348897721es348890194&documentName=Tazer_KKmod_20260410.pdf,missing verified normal row recovered from latest permit point 4 table
Tazer 250 SC,04.2/86-1/2014,alapengedely,"száraz bab, száraz borsó, lencse","lisztharmat, peronoszpóra, rozsda, aszkohitás foltosság",gombaölő szer,0.75-1,l/ha,400-600,l/ha,13,13,3 leveles állapottól (BBCH 13) a hüvelyek 50%-a elérte a végleges nagyságot állapotig (BBCH 75),,2,10,2027-12-31,Tazer_KKmod_20260410.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=348897721es348890194&documentName=Tazer_KKmod_20260410.pdf,missing verified normal row recovered from latest permit point 4 table
Tazer 250 SC,04.2/86-1/2014,alapengedely,"cukorborsó, zöldborsó, zöldbab","lisztharmat, peronoszpóra, rozsda, aszkohitás foltosság",gombaölő szer,0.75-1,l/ha,400-600,l/ha,13,13,3 leveles állapottól (BBCH 13) a hüvelyek 30%-a elérte a végleges nagyságot állapotig (BBCH 73),,2,10,2027-12-31,Tazer_KKmod_20260410.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=348897721es348890194&documentName=Tazer_KKmod_20260410.pdf,missing verified normal row recovered from latest permit point 4 table
Tazer 250 SC,04.2/86-1/2014,alapengedely,fejtett bab,"lisztharmat, peronoszpóra, rozsda, aszkohitás foltosság",gombaölő szer,0.75-1,l/ha,400-600,l/ha,13,13,3 leveles állapottól (BBCH 13) érés kezdetéig (BBCH 81),,2,10,2027-12-31,Tazer_KKmod_20260410.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=348897721es348890194&documentName=Tazer_KKmod_20260410.pdf,missing verified normal row recovered from latest permit point 4 table
Tazer 250 SC,04.2/86-1/2014,alapengedely,"közterületi jelentőségű fásszárú- és évelő növények, cserepes- és vágott dísznövények","lisztharmat, peronoszpóra, rozsda, szürkepenész, alternáriás betegség",gombaölő szer,0.8-1,l/ha,500-1500,l/ha,,,nincs korlátozás,,2,14,2027-12-31,Tazer_KKmod_20260410.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=348897721es348890194&documentName=Tazer_KKmod_20260410.pdf,missing verified normal row recovered from latest permit point 4 table
Tazer 250 SC,04.2/86-1/2014,alapengedely,szamóca,"szürkepenész lisztharmat, gnomóniás betegség, mikoszferellás levélfoltosság, antraknózis",gombaölő szer,0.8-1,l/ha,400-600,l/ha,55,55,első virágzatok megjelenésétől (BBCH 55) érés kezdetéig (BBCH 81),,2,10,2027-12-31,Tazer_KKmod_20260410.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=348897721es348890194&documentName=Tazer_KKmod_20260410.pdf,missing verified normal row recovered from latest permit point 4 table
Tazer 250 SC,04.2/86-1/2014,alapengedely,"sárgarépa, paszternák, gyökérpetrezselyem","lisztharmat, sztemfíliumos betegség, alternáriás betegség, cerkospórás levélfoltosság, peronoszpóra",gombaölő szer,1,l/ha,200-600,l/ha,16,16,6 leveles állapottól (BBCH 16) végső gyökérvastagság eléréséig (BBCH 49),,2,7,2027-12-31,Tazer_KKmod_20260410.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=348897721es348890194&documentName=Tazer_KKmod_20260410.pdf,missing verified normal row recovered from latest permit point 4 table
Amistar Gold,6300/336-1/2021,alapengedely,búza őszi és tavaszi,"szeptóriás levélfoltosság, levélrozsda (vörösrozsda), sárgarozsda",gombaölő szer,1,l/ha,200-400,l/ha,31,31,egy szárcsomós állapottól (BBCH 31) virágzás végéig (BBCH 69),,1,,2027-03-15,AmistarGold_mod_20251118.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=348142309es348078949&documentName=AmistarGold_mod_20251118.pdf,missing verified normal row recovered from latest permit point 4 table
Amistar Gold,6300/336-1/2021,alapengedely,őszi káposztarepce,fómás (plenodómuszos) betegség szklerotíniás betegség,gombaölő szer,1,l/ha,200-400,l/ha,14,14,négyleveles állapottól (BBCH 14) virágzás végéig (BBCH 69),,"2 (1 ősszel, 1 tavasszal)",,2027-03-15,AmistarGold_mod_20251118.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=348142309es348078949&documentName=AmistarGold_mod_20251118.pdf,missing verified normal row recovered from latest permit point 4 table
Amistar Gold,6300/336-1/2021,alapengedely,tavaszi repce,fómás (plenodómuszos) szklerotíniás betegség,gombaölő szer,1,l/ha,200-400,l/ha,30,30,szárbaindulástól (BBCH 30) virágzás végéig (BBCH 69),,1,,2027-03-15,AmistarGold_mod_20251118.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=348142309es348078949&documentName=AmistarGold_mod_20251118.pdf,missing verified normal row recovered from latest permit point 4 table
Amistar Gold,6300/336-1/2021,alapengedely,napraforgó,szklerotíniás betegség leptoszfériás és diaportés szárfoltosság,gombaölő szer,1,l/ha,200-600,l/ha,30,30,szármegnyúlás kezdetétől (BBCH 30) virágzat kiemelkedéséig (BBCH 55),,2,21,2027-03-15,AmistarGold_mod_20251118.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=348142309es348078949&documentName=AmistarGold_mod_20251118.pdf,missing verified normal row recovered from latest permit point 4 table
Amistar Gold,6300/336-1/2021,alapengedely,"cukorrépa, takarmány- répa","cerkospórás levélfoltosság, ramuláriás levélfoltosság, rozsda, lisztharmat, rizoktóniás betegség",gombaölő szer,1,l/ha,200-400,l/ha,31,31,sorzáródás kezdetétől (BBCH 31) a gyökérfejlődés végéig (BBCH 49),,2,21,2027-03-15,AmistarGold_mod_20251118.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=348142309es348078949&documentName=AmistarGold_mod_20251118.pdf,missing verified normal row recovered from latest permit point 4 table
DiPel DF,04.2/2118-1/2013,alapengedely,"hüvelyesek (zöldborsó, zöldbab, csicseriborsó, lóbab) (szabadföldi)","bagoly- lepkék, gyapottok- bagolylepke, lombrágó hernyók, borsómoly",rovarölő szer,1,kg/ha,400-600,l/ha,09,89,keléstől szedésérettségig (BBCH 09-89,,8,7,2038-06-30,DiPel_DF_mod_20250403publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=346860819es346853239&documentName=DiPel_DF_mod_20250403publikus.pdf,missing verified normal row recovered from latest permit point 4 table
DiPel DF,04.2/2118-1/2013,alapengedely,salátafélék (szabadföldi),"bagoly- lepkék, lombrágó hernyók",rovarölő szer,1,kg/ha,400-600,l/ha,09,89,keléstől szedésérettségig (BBCH 09- 89),,8,7,2038-06-30,DiPel_DF_mod_20250403publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=346860819es346853239&documentName=DiPel_DF_mod_20250403publikus.pdf,missing verified normal row recovered from latest permit point 4 table
DiPel DF,04.2/2118-1/2013,alapengedely,"hajtatott dísznövények (szegfű, muskátli, gerbera, hibiszkusz, rózsa)",lombrágó hernyók,rovarölő szer,0.75-1,kg/ha,,,09,87,"keléstől, hajtatástól szedésérettségig (BBCH 09-87)",,8,7,2038-06-30,DiPel_DF_mod_20250403publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=346860819es346853239&documentName=DiPel_DF_mod_20250403publikus.pdf,missing verified normal row recovered from latest permit point 4 table
DiPel DF,04.2/2118-1/2013,alapengedely,"cseresznye meggy, kajszi, szilva","lombrágó hernyók, gyümölcs- molyok, amerikai fehér medvelepke",rovarölő szer,1-1.5,kg/ha,800-1500,l/ha,11,87,Levélkiterülés kezdetétől szedésérettségig (BBCH 11-87),,8,7,2038-06-30,DiPel_DF_mod_20250403publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=346860819es346853239&documentName=DiPel_DF_mod_20250403publikus.pdf,missing verified normal row recovered from latest permit point 4 table
DiPel DF,04.2/2118-1/2013,alapengedely,"bogyós gyümölcsűek (málna, szeder, köszméte, ribiszke, fekete bodza, szamóca)","lombrágó hernyók, amerikai fehér medvelepke",rovarölő szer,1-1.5,kg/ha,400-800,l/ha,11,87,Levélkiterülés kezdetétől szedésérettségig (BBCH 11-87),,8,7,2038-06-30,DiPel_DF_mod_20250403publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=346860819es346853239&documentName=DiPel_DF_mod_20250403publikus.pdf,missing verified normal row recovered from latest permit point 4 table
DiPel DF,04.2/2118-1/2013,alapengedely,"héjas gyümölcsűek (dió, mandula, mogyoró, szelídgesztenye)","lombrágó hernyók, gyümölcs- molyok, amerikai fehér medvelepke",rovarölő szer,1-1.5,kg/ha,800-1500,l/ha,11,87,Levélkiterülés kezdetétől szedésérettségig (BBCH 11-87),,8,7,2038-06-30,DiPel_DF_mod_20250403publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=346860819es346853239&documentName=DiPel_DF_mod_20250403publikus.pdf,missing verified normal row recovered from latest permit point 4 table
Luna Sensation,04.2/1165-1/2018,alapengedely,"petrezselyem, zeller (gumós), pasztinák","alternáriás betegség, szklerotíniás betegség (fehérpenész), lisztharmat",gombaölő szer,0.5,l/ha,200-800,l/ha,41,41,gyökérvastagodás kezdetétől (BBCH 41) gyökérnövekedés végéig (BBCH 49),,2,14,2028-01-31,LunaSensation_mod_20250127.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=348897719es348890192&documentName=LunaSensation_mod_20250127.pdf,missing verified normal row recovered from latest permit point 4 table
Luna Sensation,04.2/1165-1/2018,alapengedely,"kelkáposzta, kínai kel",alternáriás betegség,gombaölő szer,0.5,l/ha,200-800,l/ha,41,41,fejesedés kezdetétől (BBCH 41) végleges fejméret eléréséig (BBCH 49),,1,14,2028-01-31,LunaSensation_mod_20250127.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=348897719es348890192&documentName=LunaSensation_mod_20250127.pdf,missing verified normal row recovered from latest permit point 4 table
Makler 250 SE,6300/410-1/2021,alapengedely,fejes káposzta,"alternáriás betegség, botrítiszes betegség (szürkepenész)",gombaölő szer,0.8,l/ha,200-600,l/ha,41,41,fejesedés kezdetétől (BBCH 41) végleges fejméret eléréséig (BBCH 49),,2,8,2028-05-31,Makler250SE_mod_20251015.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=347992854es347966635&documentName=Makler250SE_mod_20251015.pdf,missing verified normal row recovered from latest permit point 4 table
Makler 250 SE,6300/410-1/2021,alapengedely,"karfiol, brokkoli, kelbimbó, kelkáposzta","albugós betegség (fehérsömör), alternáriás betegség, peronoszpóra, mikoszferellás gyűrűsfoltosság",gombaölő szer,0.8-1,l/ha,200-600,l/ha,13,13,3 leveles állapottól (BBCH 13) végleges főhajtáshossz eléréséig (BBCH 39),,2,12,2028-05-31,Makler250SE_mod_20251015.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=347992854es347966635&documentName=Makler250SE_mod_20251015.pdf,missing verified normal row recovered from latest permit point 4 table
Makler 250 SE,6300/410-1/2021,alapengedely,gumós zeller,"szeptóriás levélfoltosság, cerkospórás levélfoltosság",gombaölő szer,1,l/ha,200-400,l/ha,19,19,9 vagy több valódi levél kiterülésétől (BBCH 19) gyökérfejlődés végéig (BBCH 49),,1,12,2028-05-31,Makler250SE_mod_20251015.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=347992854es347966635&documentName=Makler250SE_mod_20251015.pdf,missing verified normal row recovered from latest permit point 4 table
Makler 250 SE,6300/410-1/2021,alapengedely,"torma, tarlórépa","lisztharmat, alternáriás betegség, botrítiszes betegség (szürkepenész), albugós betegség (fehérsömör)",gombaölő szer,1,l/ha,200-400,l/ha,19,19,9 vagy több valódi levél kiterülésétől (BBCH 19) gyökérfejlődés végéig (BBCH 49),,1,12,2028-05-31,Makler250SE_mod_20251015.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=347992854es347966635&documentName=Makler250SE_mod_20251015.pdf,missing verified normal row recovered from latest permit point 4 table
Makler 250 SE,6300/410-1/2021,alapengedely,cékla,"cerkospórás levélfoltosság, lisztharmat",gombaölő szer,1,l/ha,200-400,l/ha,11,11,1 leveles állapottól (BBCH 11) gyökérfejlődés végéig (BBCH 49),,1,12,2028-05-31,Makler250SE_mod_20251015.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=347992854es347966635&documentName=Makler250SE_mod_20251015.pdf,missing verified normal row recovered from latest permit point 4 table
